staters,total_deaths,total_pop,male_deaths,female_deaths,pop_male,pop_female,male_white_deaths,female_white_deaths,female_black_deaths,male_black_deaths,pop_male_white,pop_male_black,pop_female_white,pop_female_black,male_white_20s_deaths,male_white_30s_deaths,male_white_40s_deaths,male_white_50s_deaths,male_white_60s_deaths,male_white_70s_deaths,male_white_80s_deaths,male_white_90s_deaths,female_white_20s_deaths,female_white_30s_deaths,female_white_40s_deaths,female_white_50s_deaths,female_white_60s_deaths,female_white_70s_deaths,female_black_30s_deaths,female_black_50s_deaths,male_black_20s_deaths,male_black_30s_deaths,male_black_40s_deaths,male_black_50s_deaths,male_black_60s_deaths,male_black_70s_deaths,male_black_80s_deaths,male_black_90s_deaths,female_white_80s_deaths,female_white_90s_deaths,female_black_20s_deaths,female_black_40s_deaths,female_black_60s_deaths,female_black_70s_deaths,female_black_80s_deaths,female_black_90s_deaths,pop_male_white_20s,pop_male_white_30s,pop_male_white_40s,pop_male_white_50s,pop_male_white_60s,pop_male_white_70s,pop_male_white_80s,pop_male_black_20s,pop_male_black_30s,pop_male_black_40s,pop_male_black_50s,pop_male_black_60s,pop_male_black_70s,pop_male_black_80s,pop_female_white_20s,pop_female_white_30s,pop_female_white_40s,pop_female_white_50s,pop_female_white_60s,pop_female_white_70s,pop_female_white_80s,pop_female_black_20s,pop_female_black_30s,pop_female_black_40s,pop_female_black_50s,pop_female_black_60s,pop_female_black_70s,pop_female_black_80s,male_white_below_40_deaths,male_white_over_40_deaths,female_white_below_40_deaths,female_white_over_40_deaths,female_black_below_40_deaths,female_black_over_40_deaths,male_black_below_40_deaths,male_black_over_40_deaths,pop_male_white_below_40,pop_male_white_over_40,pop_male_black_below_40,pop_male_black_over_40,pop_female_white_below_40,pop_female_white_over_40,pop_female_black_below_40,pop_female_black_over_40,year,employment,real_gdp,personal_income,st,sen_dem_majority,hs_dem_majority,sen_rep_majority,hs_rep_majority
MI,19901,7182128.0,10295.0,9606.0,3464945.0,3717183.0,8952.0,8348.0,1258.0,1343.0,2926102.0,436942.0,3091859.0,520096.0,35.0,103.0,446.0,1115.0,1925.0,2922.0,2076.0,330.0,31.0,88.0,443.0,1027.0,1527.0,2514.0,39.0,232.0,7.0,20.0,101.0,294.0,294.0,371.0,231.0,25.0,2225.0,493.0,8.0,108.0,271.0,324.0,232.0,44.0,520032.0,574876.0,664519.0,525285.0,318597.0,217694.0,105099.0,101569.0,100236.0,95561.0,70412.0,35713.0,23554.0,9897.0,500691.0,563615.0,664287.0,531686.0,345066.0,280882.0,205632.0,108947.0,115578.0,111365.0,83823.0,46463.0,34296.0,19624.0,138.0,8814.0,119.0,8229.0,47.0,1211.0,27.0,1316.0,1759427.0,1166675.0,297366.0,139576.0,1728593.0,1363266.0,335890.0,184206.0,2003,5423767.0,377462.0,31060.0,MI,0.0,0.0,1.0,1.0
MN,9232,3618226.0,4714.0,4518.0,1771751.0,1846475.0,4622.0,4447.0,71.0,92.0,1632629.0,67716.0,1707351.0,63362.0,16.0,52.0,204.0,487.0,907.0,1450.0,1251.0,255.0,21.0,70.0,228.0,484.0,811.0,1246.0,6.0,12.0,0.0,5.0,13.0,18.0,23.0,17.0,14.0,2.0,1211.0,376.0,0.0,4.0,15.0,17.0,14.0,3.0,300341.0,322254.0,380453.0,285448.0,167650.0,114052.0,62431.0,20311.0,19553.0,15643.0,7462.0,2830.0,1414.0,503.0,285184.0,315988.0,377831.0,286242.0,178566.0,142020.0,121520.0,19891.0,17712.0,13204.0,6596.0,3256.0,1823.0,880.0,68.0,4554.0,91.0,4356.0,6.0,65.0,5.0,87.0,1003048.0,629581.0,55507.0,12209.0,979003.0,728348.0,50807.0,12555.0,2003,3343262.0,218061.0,35256.0,MN,1.0,0.0,0.0,1.0
MO,12547,4120699.0,6495.0,6052.0,1969450.0,2151249.0,5849.0,5423.0,629.0,646.0,1734031.0,195212.0,1870720.0,236869.0,19.0,46.0,270.0,733.0,1402.0,1872.0,1277.0,230.0,15.0,77.0,294.0,616.0,1078.0,1554.0,19.0,91.0,2.0,11.0,54.0,107.0,169.0,179.0,99.0,25.0,1377.0,412.0,1.0,68.0,122.0,173.0,127.0,28.0,317698.0,329794.0,382655.0,301218.0,199494.0,137169.0,66003.0,46802.0,44321.0,44718.0,29235.0,16440.0,9706.0,3990.0,316032.0,326204.0,385511.0,314002.0,218983.0,176086.0,133902.0,51724.0,51171.0,51669.0,35765.0,21952.0,15455.0,9133.0,65.0,5784.0,92.0,5331.0,20.0,609.0,13.0,633.0,1030147.0,703884.0,135841.0,59371.0,1027747.0,842973.0,154564.0,82305.0,2003,3447466.0,205338.0,30261.0,MO,0.0,0.0,1.0,1.0
MS,5990,2016948.0,3281.0,2709.0,954405.0,1062543.0,2246.0,1840.0,869.0,1035.0,640461.0,302017.0,680389.0,368748.0,12.0,22.0,101.0,316.0,601.0,698.0,428.0,68.0,13.0,34.0,101.0,240.0,396.0,523.0,24.0,137.0,5.0,15.0,87.0,197.0,238.0,270.0,170.0,53.0,419.0,114.0,10.0,102.0,180.0,210.0,157.0,49.0,119256.0,121586.0,134037.0,114360.0,79413.0,50930.0,20879.0,79301.0,63037.0,67584.0,46451.0,24191.0,14251.0,7202.0,113229.0,117239.0,132776.0,117339.0,87021.0,67580.0,45205.0,88016.0,76678.0,80393.0,53288.0,31773.0,23118.0,15482.0,34.0,2212.0,47.0,1793.0,34.0,835.0,20.0,1015.0,374879.0,265582.0,209922.0,92095.0,363244.0,317145.0,245087.0,123661.0,2003,1454099.0,73982.0,23981.0,MS,1.0,1.0,0.0,0.0
MT,1837,667464.0,971.0,866.0,329637.0,337827.0,971.0,865.0,1.0,0.0,308771.0,1639.0,316036.0,952.0,5.0,7.0,35.0,106.0,193.0,316.0,261.0,48.0,3.0,12.0,31.0,100.0,141.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,53671.0,50377.0,68680.0,60973.0,37400.0,24768.0,12902.0,649.0,403.0,274.0,170.0,79.0,45.0,19.0,49611.0,50081.0,70028.0,58268.0,37280.0,28686.0,22082.0,386.0,197.0,162.0,89.0,51.0,40.0,27.0,12.0,959.0,15.0,850.0,0.0,1.0,0.0,0.0,172728.0,136043.0,1326.0,313.0,169720.0,146316.0,745.0,207.0,2003,570524.0,25788.0,26663.0,MT,0.0,0.0,1.0,1.0
NC,16287,6121661.0,8588.0,7699.0,2928973.0,3192688.0,6879.0,6187.0,1512.0,1709.0,2275753.0,562242.0,2407791.0,686133.0,35.0,81.0,329.0,947.0,1702.0,2203.0,1377.0,205.0,20.0,85.0,352.0,781.0,1308.0,1830.0,37.0,277.0,10.0,22.0,145.0,348.0,408.0,424.0,295.0,57.0,1452.0,359.0,8.0,143.0,336.0,380.0,267.0,64.0,422894.0,479293.0,481534.0,397100.0,259186.0,166184.0,69562.0,127045.0,127915.0,128956.0,91569.0,48372.0,27126.0,11259.0,400446.0,457496.0,483910.0,416287.0,287402.0,217255.0,144995.0,142024.0,149669.0,150966.0,107175.0,62728.0,45373.0,28198.0,116.0,6763.0,105.0,6082.0,45.0,1467.0,32.0,1677.0,1383721.0,892032.0,383916.0,178326.0,1341852.0,1065939.0,442659.0,243474.0,2003,4854186.0,313917.0,29081.0,NC,1.0,0.0,0.0,0.0
ND,1329,463926.0,699.0,630.0,229752.0,234174.0,699.0,630.0,0.0,0.0,216736.0,2133.0,220949.0,1257.0,1.0,7.0,24.0,74.0,119.0,233.0,195.0,46.0,3.0,8.0,21.0,57.0,122.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,44523.0,36187.0,46740.0,37944.0,22835.0,18076.0,10431.0,1049.0,494.0,325.0,167.0,67.0,22.0,9.0,39274.0,34527.0,46005.0,35640.0,24386.0,21871.0,19246.0,663.0,273.0,181.0,71.0,34.0,19.0,16.0,8.0,691.0,11.0,619.0,0.0,0.0,0.0,0.0,127450.0,89286.0,1868.0,265.0,119806.0,101143.0,1117.0,140.0,2003,441891.0,22295.0,29496.0,ND,0.0,0.0,1.0,1.0
NE,3397,1234918.0,1743.0,1654.0,601419.0,633499.0,1672.0,1607.0,47.0,71.0,563227.0,23328.0,593350.0,24209.0,4.0,9.0,61.0,171.0,317.0,573.0,451.0,86.0,2.0,20.0,85.0,169.0,303.0,437.0,1.0,6.0,1.0,1.0,8.0,13.0,14.0,21.0,12.0,1.0,437.0,154.0,1.0,6.0,8.0,14.0,11.0,0.0,109978.0,105865.0,123843.0,97389.0,58638.0,43999.0,23515.0,6445.0,5594.0,5186.0,3218.0,1667.0,888.0,330.0,104547.0,102648.0,123227.0,97518.0,63914.0,55422.0,46074.0,6274.0,5514.0,5259.0,3234.0,1985.0,1271.0,672.0,13.0,1659.0,22.0,1585.0,2.0,45.0,2.0,69.0,339686.0,223541.0,17225.0,6103.0,330422.0,262928.0,17047.0,7162.0,2003,1167110.0,67656.0,32611.0,NE,0.0,0.0,0.0,0.0
NH,2514,931644.0,1298.0,1216.0,453022.0,478622.0,1292.0,1211.0,5.0,6.0,438674.0,4995.0,465197.0,3685.0,3.0,13.0,65.0,191.0,292.0,378.0,291.0,59.0,3.0,13.0,73.0,159.0,231.0,338.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,293.0,101.0,0.0,2.0,1.0,2.0,0.0,0.0,68526.0,88206.0,108129.0,82936.0,46903.0,29625.0,14349.0,1413.0,1472.0,1093.0,588.0,277.0,111.0,41.0,67727.0,90360.0,109300.0,83635.0,49175.0,37227.0,27773.0,1076.0,963.0,791.0,436.0,227.0,123.0,69.0,16.0,1276.0,16.0,1195.0,0.0,5.0,0.0,6.0,264861.0,173813.0,3978.0,1017.0,267387.0,197810.0,2830.0,855.0,2003,798255.0,50276.0,36199.0,NH,0.0,0.0,1.0,1.0
NJ,18024,6271096.0,8847.0,9177.0,2984656.0,3286440.0,7750.0,8077.0,1100.0,1097.0,2370162.0,389299.0,2580290.0,468665.0,38.0,96.0,330.0,843.0,1502.0,2620.0,1954.0,367.0,29.0,79.0,378.0,852.0,1363.0,2460.0,39.0,197.0,2.0,17.0,69.0,179.0,297.0,342.0,172.0,19.0,2369.0,547.0,5.0,110.0,238.0,293.0,168.0,50.0,384060.0,483404.0,546578.0,415749.0,254768.0,187463.0,98140.0,89385.0,93937.0,88156.0,57420.0,34964.0,18895.0,6542.0,360216.0,486423.0,555322.0,440925.0,288585.0,254429.0,194390.0,94196.0,108492.0,102000.0,72996.0,46971.0,28955.0,15055.0,134.0,7616.0,108.0,7969.0,44.0,1056.0,19.0,1078.0,1414042.0,956120.0,271478.0,117821.0,1401961.0,1178329.0,304688.0,163977.0,2003,4807481.0,404905.0,41861.0,NJ,0.0,1.0,0.0,0.0
NM,3046,1317671.0,1629.0,1417.0,639634.0,678037.0,1598.0,1397.0,20.0,31.0,558753.0,15627.0,591225.0,13363.0,3.0,10.0,53.0,210.0,373.0,506.0,382.0,61.0,8.0,28.0,73.0,181.0,273.0,414.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,12.0,9.0,2.0,329.0,91.0,0.0,0.0,3.0,8.0,3.0,2.0,107533.0,101145.0,120570.0,101336.0,64713.0,43418.0,20038.0,4414.0,3443.0,3423.0,2223.0,1176.0,674.0,274.0,103103.0,102657.0,124803.0,106409.0,69814.0,51473.0,32966.0,3605.0,2805.0,2786.0,1822.0,1046.0,848.0,451.0,13.0,1585.0,36.0,1361.0,0.0,20.0,0.0,31.0,329248.0,229505.0,11280.0,4347.0,330563.0,260662.0,9196.0,4167.0,2003,1001624.0,63576.0,26250.0,NM,1.0,1.0,0.0,0.0
NV,4064,1627275.0,2267.0,1797.0,821080.0,806195.0,2148.0,1687.0,110.0,119.0,701362.0,58467.0,673911.0,57856.0,11.0,16.0,82.0,296.0,571.0,730.0,389.0,53.0,7.0,17.0,78.0,256.0,375.0,524.0,3.0,20.0,1.0,2.0,9.0,27.0,34.0,28.0,16.0,2.0,379.0,51.0,0.0,13.0,28.0,25.0,17.0,4.0,131534.0,149585.0,146720.0,120522.0,83205.0,50836.0,18960.0,12983.0,14668.0,13378.0,8260.0,5701.0,2741.0,736.0,120654.0,134924.0,136030.0,118270.0,80831.0,54151.0,29051.0,12814.0,13700.0,12340.0,8758.0,5864.0,3100.0,1280.0,27.0,2121.0,24.0,1663.0,3.0,107.0,3.0,116.0,427839.0,273523.0,41029.0,17438.0,391608.0,282303.0,38854.0,19002.0,2003,1356312.0,90419.0,33347.0,NV,0.0,1.0,1.0,0.0
NY,35860,14026471.0,17339.0,18521.0,6621353.0,7405118.0,15021.0,15985.0,2536.0,2318.0,5072319.0,1035744.0,5544528.0,1313451.0,66.0,158.0,645.0,1842.0,3119.0,4806.0,3662.0,723.0,53.0,201.0,745.0,1846.0,2883.0,4716.0,76.0,446.0,20.0,42.0,190.0,453.0,614.0,623.0,319.0,57.0,4332.0,1209.0,16.0,264.0,613.0,593.0,414.0,114.0,918058.0,1032114.0,1096789.0,875477.0,546384.0,397540.0,205957.0,244672.0,239280.0,230932.0,157781.0,94302.0,49623.0,19154.0,894808.0,1026991.0,1114960.0,936468.0,625244.0,533852.0,412205.0,268623.0,289601.0,280528.0,205759.0,135347.0,85392.0,48201.0,224.0,14797.0,254.0,15731.0,92.0,2444.0,62.0,2256.0,3046961.0,2025358.0,714884.0,320860.0,3036759.0,2507769.0,838752.0,474699.0,2003,10338816.0,898559.0,37199.0,NY,0.0,1.0,1.0,0.0
OH,25506,8265091.0,13019.0,12487.0,3944238.0,4320853.0,11631.0,11218.0,1269.0,1388.0,3457937.0,414875.0,3751740.0,492880.0,41.0,114.0,551.0,1464.0,2523.0,3881.0,2639.0,418.0,32.0,167.0,589.0,1298.0,2166.0,3365.0,26.0,192.0,3.0,14.0,118.0,225.0,369.0,388.0,244.0,27.0,2881.0,720.0,10.0,102.0,289.0,346.0,244.0,60.0,623195.0,664363.0,772724.0,617914.0,381689.0,268733.0,129319.0,94716.0,91187.0,93997.0,64060.0,36965.0,24593.0,9357.0,615793.0,663695.0,785152.0,639575.0,429335.0,358089.0,260101.0,103393.0,101909.0,107802.0,75606.0,48334.0,36024.0,19812.0,155.0,11476.0,199.0,11019.0,36.0,1233.0,17.0,1371.0,2060282.0,1397655.0,279900.0,134975.0,2064640.0,1687100.0,313104.0,179776.0,2003,6616808.0,426295.0,30579.0,OH,0.0,0.0,1.0,1.0
OK,7092,2512508.0,3762.0,3330.0,1217326.0,1295182.0,3542.0,3123.0,207.0,220.0,1012946.0,86975.0,1074813.0,92843.0,13.0,35.0,161.0,475.0,840.0,1116.0,765.0,137.0,20.0,45.0,157.0,393.0,666.0,924.0,1.0,23.0,1.0,6.0,18.0,42.0,44.0,70.0,30.0,9.0,703.0,215.0,2.0,18.0,46.0,58.0,42.0,17.0,196559.0,184236.0,215135.0,176477.0,120377.0,81820.0,38342.0,23912.0,19520.0,19267.0,12476.0,6655.0,3579.0,1566.0,185393.0,180562.0,215306.0,183346.0,132750.0,104348.0,73108.0,23028.0,19454.0,20204.0,13467.0,7961.0,5376.0,3353.0,48.0,3494.0,65.0,3058.0,3.0,204.0,7.0,213.0,595930.0,417016.0,62699.0,24276.0,581261.0,493552.0,62686.0,30157.0,2003,1973202.0,106105.0,27548.0,OK,1.0,1.0,0.0,0.0
OR,7202,2598046.0,3684.0,3518.0,1271879.0,1326167.0,3624.0,3491.0,27.0,60.0,1181000.0,25074.0,1231456.0,21203.0,8.0,31.0,137.0,460.0,766.0,1110.0,948.0,164.0,17.0,38.0,163.0,392.0,692.0,987.0,0.0,2.0,0.0,1.0,5.0,17.0,10.0,20.0,7.0,0.0,925.0,277.0,0.0,0.0,8.0,6.0,9.0,2.0,221677.0,227057.0,249803.0,221209.0,127478.0,85789.0,47987.0,6639.0,6330.0,5652.0,3667.0,1644.0,820.0,322.0,212209.0,215036.0,254167.0,225583.0,134850.0,106105.0,83506.0,5644.0,4890.0,4501.0,2914.0,1597.0,975.0,682.0,39.0,3585.0,55.0,3436.0,0.0,27.0,1.0,59.0,698537.0,482463.0,18621.0,6453.0,681412.0,550044.0,15035.0,6168.0,2003,2084757.0,128009.0,30028.0,OR,0.0,0.0,0.0,1.0
PA,30324,9134920.0,15522.0,14802.0,4338699.0,4796221.0,14128.0,13450.0,1352.0,1394.0,3830833.0,400536.0,4204373.0,478497.0,37.0,109.0,602.0,1522.0,2869.0,4795.0,3612.0,582.0,30.0,157.0,593.0,1347.0,2270.0,4205.0,22.0,206.0,8.0,12.0,98.0,270.0,319.0,425.0,229.0,33.0,3825.0,1023.0,7.0,110.0,315.0,365.0,275.0,52.0,631561.0,704234.0,850184.0,688526.0,438688.0,342273.0,175367.0,93098.0,90178.0,89676.0,61037.0,35005.0,22555.0,8987.0,619041.0,706622.0,862766.0,711385.0,492447.0,460165.0,351947.0,98146.0,99724.0,102427.0,73256.0,47353.0,36391.0,21200.0,146.0,13982.0,187.0,13263.0,29.0,1323.0,20.0,1374.0,2185979.0,1644854.0,272952.0,127584.0,2188429.0,2015944.0,300297.0,178200.0,2003,6864030.0,458434.0,33055.0,PA,0.0,0.0,1.0,1.0
PR,48,,23.0,25.0,,,23.0,24.0,1.0,0.0,,,,,4.0,2.0,0.0,5.0,2.0,6.0,4.0,0.0,0.0,1.0,4.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,17.0,1.0,23.0,0.0,1.0,0.0,0.0,,,,,,,,,2003,,,,,,,,
RI,2355,787414.0,1160.0,1195.0,370701.0,416713.0,1121.0,1168.0,27.0,39.0,336804.0,21590.0,380019.0,23160.0,4.0,8.0,56.0,131.0,199.0,353.0,314.0,56.0,1.0,15.0,47.0,137.0,213.0,316.0,0.0,7.0,0.0,0.0,3.0,9.0,4.0,15.0,6.0,2.0,347.0,92.0,0.0,3.0,4.0,7.0,4.0,2.0,60249.0,65558.0,74947.0,59313.0,34785.0,26854.0,15098.0,6226.0,5290.0,4864.0,2883.0,1281.0,753.0,293.0,61278.0,68892.0,78826.0,62557.0,39559.0,37081.0,31826.0,6212.0,5548.0,5064.0,2880.0,1757.0,1162.0,537.0,12.0,1109.0,16.0,1152.0,0.0,27.0,0.0,39.0,200754.0,136050.0,16380.0,5210.0,208996.0,171023.0,16824.0,6336.0,2003,589816.0,40672.0,34137.0,RI,1.0,1.0,0.0,0.0
SC,8649,3000349.0,4628.0,4021.0,1428110.0,1572239.0,3347.0,2940.0,1081.0,1281.0,1038055.0,367214.0,1099090.0,447861.0,11.0,31.0,158.0,475.0,893.0,1074.0,628.0,77.0,7.0,34.0,176.0,390.0,636.0,866.0,20.0,198.0,4.0,12.0,108.0,246.0,358.0,313.0,201.0,39.0,674.0,157.0,8.0,120.0,224.0,249.0,203.0,59.0,190732.0,204033.0,215810.0,187846.0,128144.0,79241.0,32249.0,86049.0,77489.0,82963.0,61916.0,32843.0,18144.0,7810.0,183103.0,196966.0,217093.0,195784.0,139386.0,101602.0,65156.0,94294.0,91782.0,97900.0,73469.0,42434.0,29339.0,18643.0,42.0,3305.0,41.0,2899.0,28.0,1053.0,16.0,1265.0,610575.0,427480.0,246501.0,120713.0,597162.0,501928.0,283976.0,163885.0,2003,2257776.0,132485.0,26903.0,SC,0.0,0.0,1.0,1.0
SD,1598,541065.0,844.0,754.0,265847.0,275218.0,844.0,753.0,1.0,0.0,243848.0,2774.0,253087.0,1418.0,5.0,8.0,28.0,82.0,155.0,296.0,228.0,42.0,5.0,10.0,37.0,83.0,127.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,45925.0,42153.0,53730.0,42965.0,26615.0,20790.0,11670.0,996.0,839.0,543.0,248.0,87.0,45.0,16.0,42881.0,40996.0,52864.0,41232.0,28097.0,25290.0,21727.0,536.0,399.0,243.0,119.0,53.0,41.0,27.0,13.0,831.0,15.0,738.0,0.0,1.0,0.0,0.0,141808.0,102040.0,2378.0,396.0,136741.0,116346.0,1178.0,240.0,2003,508390.0,28733.0,30941.0,SD,0.0,0.0,1.0,1.0
TN,12753,4265532.0,6746.0,6007.0,2036103.0,2229429.0,5833.0,5124.0,883.0,913.0,1711917.0,291125.0,1840305.0,353809.0,16.0,57.0,314.0,832.0,1491.0,1801.0,1142.0,180.0,25.0,71.0,272.0,687.0,1074.0,1418.0,26.0,141.0,3.0,10.0,74.0,187.0,205.0,253.0,146.0,35.0,1258.0,319.0,8.0,103.0,175.0,200.0,168.0,62.0,313315.0,342614.0,363807.0,310563.0,203788.0,124688.0,53142.0,72705.0,65999.0,66555.0,45211.0,22344.0,12729.0,5582.0,308217.0,336824.0,371699.0,321384.0,224458.0,165465.0,112258.0,80109.0,77231.0,79236.0,52925.0,30292.0,21043.0,12973.0,73.0,5760.0,96.0,5028.0,34.0,849.0,13.0,900.0,1019736.0,692181.0,205259.0,85866.0,1016740.0,823565.0,236576.0,117233.0,2003,3439761.0,206546.0,29454.0,TN,1.0,1.0,0.0,0.0
TX,33896,15221248.0,17838.0,16058.0,7443361.0,7777887.0,15591.0,14028.0,2030.0,2247.0,6310226.0,810303.0,6518792.0,920733.0,94.0,218.0,818.0,2120.0,3685.0,4869.0,3296.0,491.0,74.0,235.0,894.0,1889.0,2809.0,3919.0,59.0,351.0,15.0,26.0,179.0,448.0,564.0,598.0,331.0,86.0,3312.0,896.0,16.0,220.0,437.0,500.0,335.0,112.0,1395268.0,1363789.0,1374563.0,1016472.0,602511.0,385602.0,172021.0,199226.0,194021.0,191772.0,119265.0,59901.0,32876.0,13242.0,1310556.0,1324202.0,1363859.0,1045030.0,660409.0,492232.0,322504.0,210890.0,212927.0,208341.0,134806.0,74407.0,50420.0,28942.0,312.0,15279.0,309.0,13719.0,75.0,1955.0,41.0,2206.0,4133620.0,2176606.0,585019.0,225284.0,3998617.0,2520175.0,632158.0,288575.0,2003,12386927.0,844435.0,30010.0,TX,0.0,0.0,1.0,1.0
UT,2437,1530713.0,1279.0,1158.0,760455.0,770258.0,1265.0,1154.0,4.0,14.0,720039.0,8904.0,730758.0,5931.0,11.0,30.0,83.0,160.0,258.0,370.0,290.0,63.0,10.0,26.0,79.0,148.0,213.0,316.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,291.0,71.0,0.0,0.0,1.0,1.0,2.0,0.0,205820.0,148902.0,141248.0,103329.0,60648.0,40248.0,19844.0,2996.0,2443.0,1851.0,949.0,393.0,195.0,77.0,200591.0,140393.0,140040.0,104692.0,65160.0,47719.0,32163.0,2083.0,1445.0,1135.0,633.0,302.0,208.0,125.0,41.0,1224.0,36.0,1118.0,0.0,4.0,1.0,13.0,495970.0,224069.0,7290.0,1614.0,481024.0,249734.0,4663.0,1268.0,2003,1400308.0,80130.0,26316.0,UT,0.0,0.0,1.0,1.0
VA,13779,5372709.0,7171.0,6608.0,2590202.0,2782507.0,5654.0,5309.0,1299.0,1517.0,1991944.0,468425.0,2094021.0,541468.0,30.0,68.0,253.0,792.0,1332.0,1750.0,1260.0,169.0,21.0,74.0,284.0,696.0,1025.0,1526.0,39.0,202.0,5.0,30.0,101.0,259.0,374.0,445.0,239.0,64.0,1351.0,332.0,9.0,113.0,251.0,366.0,257.0,62.0,368951.0,409383.0,441449.0,361903.0,216881.0,133303.0,60074.0,106997.0,106261.0,110323.0,72431.0,39641.0,23415.0,9357.0,345961.0,403406.0,446377.0,373161.0,232044.0,173270.0,119802.0,109835.0,118618.0,124288.0,82875.0,49770.0,35072.0,21010.0,98.0,5556.0,95.0,5214.0,48.0,1251.0,35.0,1482.0,1219783.0,772161.0,323581.0,144844.0,1195744.0,898277.0,352741.0,188727.0,2003,4469094.0,309648.0,35745.0,VA,0.0,0.0,1.0,1.0
VI,22,,12.0,10.0,,,7.0,0.0,10.0,5.0,,,,,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,0.0,0.0,0.0,10.0,0.0,5.0,,,,,,,,,2003,,,,,,,,
VT,1238,454003.0,642.0,596.0,219479.0,234524.0,641.0,596.0,0.0,1.0,214689.0,1636.0,229795.0,1203.0,3.0,3.0,35.0,81.0,125.0,220.0,148.0,26.0,1.0,10.0,32.0,66.0,122.0,176.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,138.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,35542.0,39367.0,50090.0,42384.0,24352.0,15466.0,7488.0,562.0,393.0,350.0,198.0,85.0,30.0,18.0,34244.0,40865.0,51921.0,43124.0,25346.0,19556.0,14739.0,382.0,294.0,248.0,138.0,66.0,47.0,28.0,6.0,635.0,11.0,585.0,0.0,0.0,0.0,1.0,124999.0,89690.0,1305.0,331.0,127030.0,102765.0,924.0,279.0,2003,405463.0,21232.0,31779.0,VT,1.0,0.0,0.0,1.0
WA,10732,4417258.0,5488.0,5244.0,2172159.0,2245099.0,5346.0,5124.0,120.0,142.0,1907958.0,83275.0,1962802.0,70991.0,19.0,46.0,237.0,690.0,1109.0,1668.0,1315.0,262.0,24.0,75.0,256.0,621.0,960.0,1449.0,3.0,24.0,3.0,3.0,12.0,31.0,38.0,36.0,18.0,1.0,1363.0,376.0,3.0,8.0,20.0,30.0,26.0,6.0,357300.0,384711.0,429400.0,348378.0,195538.0,124300.0,68331.0,21700.0,21759.0,19964.0,11479.0,4924.0,2480.0,969.0,340308.0,368239.0,427091.0,352296.0,201549.0,152271.0,121048.0,18704.0,17527.0,15982.0,9550.0,4514.0,3032.0,1682.0,65.0,5281.0,99.0,5025.0,6.0,114.0,6.0,136.0,1171411.0,736547.0,63423.0,19852.0,1135638.0,827164.0,52213.0,18778.0,2003,3510293.0,260027.0,34663.0,WA,0.0,1.0,1.0,0.0
WI,10807,3952467.0,5642.0,5165.0,1930600.0,2021867.0,5417.0,4951.0,214.0,225.0,1787434.0,94324.0,1864492.0,106482.0,32.0,48.0,201.0,655.0,1056.0,1731.0,1426.0,268.0,11.0,71.0,245.0,558.0,852.0,1368.0,12.0,51.0,1.0,3.0,19.0,51.0,56.0,53.0,35.0,7.0,1390.0,456.0,1.0,20.0,38.0,60.0,29.0,3.0,321871.0,345909.0,408087.0,316238.0,189978.0,135159.0,70192.0,25981.0,23538.0,20942.0,13125.0,6299.0,3428.0,1011.0,303156.0,336784.0,402333.0,312649.0,202569.0,169334.0,137667.0,27415.0,25424.0,23570.0,14856.0,8137.0,4816.0,2264.0,80.0,5337.0,82.0,4869.0,13.0,201.0,4.0,221.0,1075867.0,711567.0,70461.0,23863.0,1042273.0,822219.0,76409.0,30073.0,2003,3404331.0,204649.0,31905.0,WI,0.0,0.0,1.0,1.0
