var,coef,stderr,pval,N,lhs,specification,r2
"lag_mand_n_rec_01",5.451157,27.6767,.8446748,1451,"female_black",5,.8620516
"lag_mand_n_rec_02",13.75885,22.45175,.5428302,1451,"female_black",5,.8620516
"lag_mand_n_rec_03",23.35795,20.69993,.2646427,1451,"female_black",5,.8620516
"lag_mand_n_rec_04",54.02907,23.29901,.0246113,1451,"female_black",5,.8620516
"lag_mand_n_rec_05",42.11168,26.29164,.1156469,1451,"female_black",5,.8620516
"lag_mand_n_rec_LT",18.73843,31.41285,.5535733,1451,"female_black",5,.8620516
"lag_mand_n_rec_00",7.394291,11.89071,.5368629,1481,"female_black",4,.8662006
"lag_mand_n_rec_01",2.684616,26.92943,.9209885,1481,"female_black",4,.8662006
"lag_mand_n_rec_02",5.121028,21.52162,.8128938,1481,"female_black",4,.8662006
"lag_mand_n_rec_03",17.62385,20.54262,.3950325,1481,"female_black",4,.8662006
"lag_mand_n_rec_04",50.33755,24.15949,.0423329,1481,"female_black",4,.8662006
"lag_mand_n_rec_05",39.68766,26.75503,.1442522,1481,"female_black",4,.8662006
"lag_mand_n_rec_LT",17.41089,31.81247,.586609,1481,"female_black",4,.8662006
"lag_mand_n_rec_00",22.73911,17.98869,.2121822,1451,"female_black",3,.8369336
"lag_mand_n_rec_01",18.66075,28.0889,.5095834,1451,"female_black",3,.8369336
"lag_mand_n_rec_02",26.2586,26.98328,.3352619,1451,"female_black",3,.8369336
"lag_mand_n_rec_03",37.12518,21.30859,.0877364,1451,"female_black",3,.8369336
"lag_mand_n_rec_04",68.89944,34.39934,.0507331,1451,"female_black",3,.8369336
"lag_mand_n_rec_05",59.84988,34.50613,.089122,1451,"female_black",3,.8369336
"lag_mand_n_rec_LT",41.97183,30.12342,.1698089,1451,"female_black",3,.8369336
"lag_mand_n_rec_00",27.64311,18.92912,.1504497,1481,"female_black",2,.8387676
"lag_mand_n_rec_01",24.32929,26.41677,.3614839,1481,"female_black",2,.8387676
"lag_mand_n_rec_02",29.66023,26.17628,.2625782,1481,"female_black",2,.8387676
"lag_mand_n_rec_03",43.33379,20.60916,.0405524,1481,"female_black",2,.8387676
"lag_mand_n_rec_04",74.77969,33.9226,.0321251,1481,"female_black",2,.8387676
"lag_mand_n_rec_05",66.43188,33.53835,.0531311,1481,"female_black",2,.8387676
"lag_mand_n_rec_LT",48.32305,31.18781,.1275875,1481,"female_black",2,.8387676
"lag_mand_n_rec_00",33.09608,20.10804,.1060542,1481,"female_black",1,.8356981
"lag_mand_n_rec_01",31.09517,25.94324,.2363398,1481,"female_black",1,.8356981
"lag_mand_n_rec_02",36.92191,26.40774,.1682404,1481,"female_black",1,.8356981
"lag_mand_n_rec_03",51.35889,20.95665,.017798,1481,"female_black",1,.8356981
"lag_mand_n_rec_04",83.16327,33.9125,.0177291,1481,"female_black",1,.8356981
"lag_mand_n_rec_05",74.62862,34.38955,.0347767,1481,"female_black",1,.8356981
"lag_mand_n_rec_LT",55.82036,32.39956,.0910916,1481,"female_black",1,.8356981
"male_white_mortality:mand_n_rec",-.001544,.0065095,.812506,1793,"male_white",7,
"male_white_mortality:mand_n_rec",-.0103116,.0162836,.5265709,1829,"male_white",6,
"mand_n_rec",-6.660825,8.572915,.4409163,1793,"male_white",5,.9820129
"mand_n_rec",-.5234449,10.1227,.9589658,1829,"male_white",4,.9797582
"mand_n_rec",-1.171972,21.11529,.9559631,1793,"male_white",3,.9351676
"mand_n_rec",-5.081792,21.56991,.8147082,1829,"male_white",2,.9205733
"mand_n_rec",-14.07793,23.08728,.5447754,1829,"male_white",1,.9123899
"female_white_mortality:mand_n_rec",.0029855,.0053981,.5802162,1793,"female_white",7,
"female_white_mortality:mand_n_rec",-.02292,.0205893,.2656248,1829,"female_white",6,
"mand_n_rec",-.1303661,5.982541,.9827031,1793,"female_white",5,.9822121
"mand_n_rec",-.6013848,5.885033,.9190155,1829,"female_white",4,.9818596
"mand_n_rec",-6.149908,13.96667,.6616364,1793,"female_white",3,.945603
"mand_n_rec",-15.2611,16.08658,.3473437,1829,"female_white",2,.9046448
"mand_n_rec",-26.74323,23.66029,.2637428,1829,"female_white",1,.8706908
"male_black_mortality:mand_n_rec",-.0077131,.0187086,.6801373,1793,"male_black",7,
"male_black_mortality:mand_n_rec",.0622891,.0324686,.0550552,1829,"male_black",6,
"mand_n_rec",-18.66672,18.37351,.3146398,1793,"male_black",5,.9499465
"mand_n_rec",-20.3445,18.51039,.2769949,1829,"male_black",4,.950783
"mand_n_rec",81.89828,45.05203,.0752019,1793,"male_black",3,.9063519
"mand_n_rec",84.202,43.40798,.0580577,1829,"male_black",2,.9067459
"mand_n_rec",95.73811,49.33849,.0579763,1829,"male_black",1,.8987514
"female_black_mortality:mand_n_rec",.0407997,.0153837,.0079982,1793,"female_black",7,
"female_black_mortality:mand_n_rec",.0608159,.0251633,.0156554,1829,"female_black",6,
"mand_n_rec",29.91417,13.11343,.0269217,1793,"female_black",5,.8439534
"mand_n_rec",25.63532,14.50011,.0831724,1829,"female_black",4,.846082
"mand_n_rec",50.40561,21.48913,.0230867,1793,"female_black",3,.8195476
"mand_n_rec",54.15461,21.45188,.0148074,1829,"female_black",2,.8189433
"mand_n_rec",63.45734,23.01577,.0081196,1829,"female_black",1,.8128722
